,COUNTY,NPI,Tot_Clms,Tot_30day_Fills,Tot_Day_Suply,Tot_Drug_Cst,Tot_Benes,GE65_Tot_Clms,GE65_Tot_30day_Fills,GE65_Tot_Drug_Cst,GE65_Tot_Day_Suply,GE65_Tot_Benes
0,1011,2,22,43.0,1276,23789.98,0.0,22.0,43.0,23789.98,1276.0,0.0
1,1015,2,32,46.8,1368,36107.16,0.0,0.0,0.0,0.0,0.0,0.0
2,1017,4,56,64.0,1864,47369.12,0.0,0.0,0.0,0.0,0.0,0.0
3,1021,1,18,25.6,764,19777.09,0.0,0.0,0.0,0.0,0.0,0.0
4,1027,1,11,11.0,318,8330.27,0.0,0.0,0.0,0.0,0.0,0.0
5,1033,3,44,51.6,1500,39449.18,0.0,0.0,0.0,0.0,0.0,0.0
6,1037,2,52,68.6,2004,48928.38,0.0,0.0,0.0,0.0,0.0,0.0
7,1051,2,52,68.6,2004,48928.38,0.0,0.0,0.0,0.0,0.0,0.0
8,1059,2,32,36.0,1042,26847.18,0.0,0.0,0.0,0.0,0.0,0.0
9,1061,2,48,49.8,1438,35289.91,0.0,14.0,15.8,11545.03,462.0,0.0
10,1069,2,48,49.8,1438,35289.91,0.0,14.0,15.8,11545.03,462.0,0.0
11,1071,1,14,14.5,431,10087.42,0.0,0.0,0.0,0.0,0.0,0.0
12,1073,11,243,292.7,8432,202750.64,44.0,56.0,61.7,45354.62,1709.0,12.0
13,1077,2,63,79.8,2312,59251.03,18.0,22.0,36.8,27832.83,1080.0,0.0
14,1081,4,56,64.0,1864,47369.12,0.0,0.0,0.0,0.0,0.0,0.0
15,1089,3,36,38.7,1116,26357.31,0.0,0.0,0.0,0.0,0.0,0.0
16,1097,8,310,461.40000000000003,13592,324260.72,112.0,88.0,142.4,95998.64,4212.0,0.0
17,1101,3,221,254.4,7346,179323.78,62.0,142.0,161.0,108562.06,4664.0,40.0
18,1109,2,22,43.0,1276,23789.98,0.0,22.0,43.0,23789.98,1276.0,0.0
19,1115,1,21,25.6,732,18258.61,0.0,0.0,0.0,0.0,0.0,0.0
20,1117,3,42,52.7,1529,39791.740000000005,0.0,11.0,11.0,8555.68,291.0,0.0
21,1121,2,32,46.8,1368,36107.16,0.0,0.0,0.0,0.0,0.0,0.0
22,1123,2,52,68.6,2004,48928.38,0.0,0.0,0.0,0.0,0.0,0.0
23,1125,1,17,17.0,478,11914.67,0.0,0.0,0.0,0.0,0.0,0.0
24,4013,4,57,73.1,2126,54200.74,0.0,22.0,24.6,16895.8,712.0,0.0
25,4019,2,26,36.8,1064,24030.7,0.0,0.0,0.0,0.0,0.0,0.0
26,4021,1,18,29.7,870,23232.45,0.0,0.0,0.0,0.0,0.0,0.0
27,5009,2,26,33.8,988,18896.82,0.0,0.0,0.0,0.0,0.0,0.0
28,5089,2,26,33.8,988,18896.82,0.0,0.0,0.0,0.0,0.0,0.0
29,5119,1,16,18.1,530,13294.68,0.0,0.0,0.0,0.0,0.0,0.0
30,5129,2,26,33.8,988,18896.82,0.0,0.0,0.0,0.0,0.0,0.0
31,5131,3,39,49.800000000000004,1428,36228.81,0.0,0.0,0.0,0.0,0.0,0.0
32,6019,3,59,66.3,1876,44052.020000000004,0.0,12.0,14.0,9453.61,410.0,0.0
33,6025,1,68,81.6,2376,58191.24,26.0,30.0,36.7,26264.53,1068.0,14.0
34,6029,2,72,97.9,2859,68753.02,20.0,17.0,19.5,13470.09,584.0,0.0
35,6037,38,1111,1351.2,39091,918419.42,244.0,640.0,800.3,537797.9,23279.0,112.0
36,6053,1,13,13.3,380,9874.01,0.0,0.0,0.0,0.0,0.0,0.0
37,6059,12,209,253.2,7366,182447.18,0.0,161.0,190.5,137893.74,5532.0,0.0
38,6065,2,23,24.8,720,18116.85,0.0,12.0,13.8,10072.26,402.0,0.0
39,6067,3,49,85.6,2508,61441.28999999999,0.0,26.0,26.0,18680.2,728.0,0.0
40,6071,3,53,56.1,1488,40859.91,0.0,15.0,17.7,12730.49,472.0,0.0
41,6073,5,74,89.8,2576,56843.37,0.0,0.0,0.0,0.0,0.0,0.0
42,6075,2,52,55.6,1488,51802.32,0.0,0.0,0.0,0.0,0.0,0.0
43,6077,9,188,237.6,6914,162777.71,0.0,46.0,64.8,47575.29,1892.0,0.0
44,6083,1,19,19.0,540,14200.64,0.0,0.0,0.0,0.0,0.0,0.0
45,6085,3,54,57.8,1661,46472.66,11.0,0.0,0.0,0.0,0.0,0.0
46,6089,2,36,56.6,1656,42961.66,0.0,36.0,56.6,42961.66,1656.0,0.0
47,6097,4,83,98.1,2811,72471.78,0.0,0.0,0.0,0.0,0.0,0.0
48,6099,1,34,36.5,1044,24449.87,13.0,0.0,0.0,0.0,0.0,0.0
49,6101,1,19,31.4,942,17688.47,0.0,0.0,0.0,0.0,0.0,0.0
50,6107,1,11,11.0,316,8073.14,0.0,0.0,0.0,0.0,0.0,0.0
51,6111,2,26,34.8,1044,25827.72,0.0,26.0,34.8,25827.72,1044.0,0.0
52,8001,3,33,35.7,1008,23700.300000000003,0.0,33.0,35.7,23700.300000000003,1008.0,0.0
53,8005,3,33,35.7,1008,23700.300000000003,0.0,33.0,35.7,23700.300000000003,1008.0,0.0
54,9120,3,70,70.0,1988,49432.869999999995,0.0,32.0,32.0,22423.98,920.0,0.0
55,9130,1,14,15.7,456,12882.27,0.0,0.0,0.0,0.0,0.0,0.0
56,9140,4,70,77.1,2161,60146.340000000004,0.0,0.0,0.0,0.0,0.0,0.0
57,9150,1,16,16.0,448,11936.87,0.0,0.0,0.0,0.0,0.0,0.0
58,9160,3,42,56.0,1634,38238.81,0.0,0.0,0.0,0.0,0.0,0.0
59,9170,2,40,41.8,1160,31061.56,0.0,0.0,0.0,0.0,0.0,0.0
60,9180,1,11,11.0,326,7849.82,0.0,0.0,0.0,0.0,0.0,0.0
61,10003,10,140,353.0,10500,240021.69999999998,0.0,140.0,353.0,240021.69999999998,10500.0,0.0
62,10005,3,57,125.6,3730,90423.03,30.0,15.0,26.4,18730.43,774.0,0.0
63,12005,2,42,56.4,1652,39231.6,0.0,0.0,0.0,0.0,0.0,0.0
64,12009,5,150,207.7,5967,150507.31,40.0,87.0,132.8,95586.82,3889.0,0.0
65,12015,6,126,257.6,7672,172279.57,80.0,0.0,0.0,0.0,0.0,0.0
66,12021,1,17,31.8,901,21163.0,0.0,17.0,31.8,21163.0,901.0,0.0
67,12031,2,38,51.6,1528,37695.99,0.0,0.0,0.0,0.0,0.0,0.0
68,12033,4,65,89.0,2594,59148.49,0.0,0.0,0.0,0.0,0.0,0.0
69,12035,11,272,329.8,9531,234101.77000000002,80.0,13.0,13.0,8751.96,372.0,0.0
70,12055,1,14,18.7,558,14029.29,0.0,0.0,0.0,0.0,0.0,0.0
71,12057,1,42,53.6,1567,37459.21,12.0,28.0,31.2,22001.06,903.0,0.0
72,12069,1,30,31.8,920,23215.27,14.0,12.0,13.8,10047.88,398.0,0.0
73,12071,4,95,120.6,3524,93000.70000000001,14.0,0.0,0.0,0.0,0.0,0.0
74,12073,2,35,46.6,1360,33139.18,0.0,14.0,14.0,9426.35,398.0,0.0
75,12085,6,180,240.39999999999998,6958,166986.8,70.0,32.0,50.0,37410.08,1462.0,0.0
76,12086,3,120,130.1,3823,91376.41,49.0,0.0,0.0,0.0,0.0,0.0
77,12095,1,30,31.8,920,23215.27,14.0,12.0,13.8,10047.88,398.0,0.0
78,12099,9,248,320.1,9296,223233.22,86.0,62.0,88.1,63792.7,2596.0,0.0
79,12103,1,12,15.6,456,11872.7,0.0,12.0,15.6,11872.7,456.0,0.0
80,12105,1,11,19.9,596,12965.59,0.0,0.0,0.0,0.0,0.0,0.0
81,12109,4,112,138.8,3992,98994.16,52.0,0.0,0.0,0.0,0.0,0.0
82,12115,2,25,38.7,1136,28085.64,0.0,0.0,0.0,0.0,0.0,0.0
83,12127,10,213,262.2,7602,188434.02,27.0,0.0,0.0,0.0,0.0,0.0
84,13011,5,167,183.6,5272,133318.87,24.0,98.0,114.6,81541.12,3292.0,24.0
85,13019,4,52,55.6,1648,39771.6,0.0,0.0,0.0,0.0,0.0,0.0
86,13051,1,15,17.0,484,12593.1,0.0,0.0,0.0,0.0,0.0,0.0
87,13069,3,45,57.0,1632,41565.33,0.0,0.0,0.0,0.0,0.0,0.0
88,13089,1,12,15.6,464,11476.34,0.0,0.0,0.0,0.0,0.0,0.0
89,13105,2,30,32.0,880,23968.76,0.0,0.0,0.0,0.0,0.0,0.0
90,13111,1,16,25.1,736,17352.73,0.0,0.0,0.0,0.0,0.0,0.0
91,13119,7,197,215.6,6152,157287.63,24.0,98.0,114.6,81541.12,3292.0,24.0
92,13121,2,27,30.1,872,22523.739999999998,0.0,13.0,14.8,11417.61,422.0,0.0
93,13127,1,19,23.9,696,17687.05,0.0,0.0,0.0,0.0,0.0,0.0
94,13137,3,69,69.0,1980,51777.75,0.0,0.0,0.0,0.0,0.0,0.0
95,13147,2,30,32.0,880,23968.76,0.0,0.0,0.0,0.0,0.0,0.0
96,13187,1,16,25.1,736,17352.73,0.0,0.0,0.0,0.0,0.0,0.0
97,13195,4,128,146.6,4172,105509.87999999999,24.0,98.0,114.6,81541.12,3292.0,24.0
98,13215,1,12,17.0,495,11675.25,0.0,0.0,0.0,0.0,0.0,0.0
99,13257,3,69,69.0,1980,51777.75,0.0,0.0,0.0,0.0,0.0,0.0
100,13265,1,12,14.6,422,9630.19,0.0,0.0,0.0,0.0,0.0,0.0
101,13277,4,52,55.6,1648,39771.6,0.0,0.0,0.0,0.0,0.0,0.0
102,13291,1,16,25.1,736,17352.73,0.0,0.0,0.0,0.0,0.0,0.0
103,13317,1,12,14.6,422,9630.19,0.0,0.0,0.0,0.0,0.0,0.0
104,15003,4,68,110.1,3232,79133.88,0.0,57.0,90.2,65259.17,2642.0,0.0
105,16055,1,23,30.9,904,18675.25,11.0,0.0,0.0,0.0,0.0,0.0
106,17007,2,34,50.6,1482,28086.72,0.0,0.0,0.0,0.0,0.0,0.0
107,17027,4,72,86.8,2440,61998.12,0.0,0.0,0.0,0.0,0.0,0.0
108,17031,12,218,340.3,9993,233118.03,20.0,66.0,108.89999999999999,78925.97,3192.0,20.0
109,17081,4,72,86.8,2440,61998.12,0.0,0.0,0.0,0.0,0.0,0.0
110,17089,1,14,24.8,738,18149.27,0.0,14.0,24.8,18149.27,738.0,0.0
111,17097,1,22,32.6,943,21988.31,11.0,0.0,0.0,0.0,0.0,0.0
112,17121,4,72,86.8,2440,61998.12,0.0,0.0,0.0,0.0,0.0,0.0
113,17159,1,12,23.6,702,15620.68,0.0,12.0,23.6,15620.68,702.0,0.0
114,17189,4,72,86.8,2440,61998.12,0.0,0.0,0.0,0.0,0.0,0.0
115,17201,2,34,50.6,1482,28086.72,0.0,0.0,0.0,0.0,0.0,0.0
116,18003,6,114,141.4,4060,106869.52,22.0,0.0,0.0,0.0,0.0,0.0
117,18021,1,60,72.4,2101,54177.12,24.0,25.0,31.4,24602.62,916.0,0.0
118,18037,2,28,28.0,778,20596.68,0.0,0.0,0.0,0.0,0.0,0.0
119,18057,1,19,22.8,656,16856.56,0.0,0.0,0.0,0.0,0.0,0.0
120,18059,1,13,14.7,420,9711.69,0.0,0.0,0.0,0.0,0.0,0.0
121,18065,1,25,39.0,1157,25473.84,0.0,0.0,0.0,0.0,0.0,0.0
122,18089,4,47,72.8,2106,52451.69,0.0,0.0,0.0,0.0,0.0,0.0
123,18097,3,46,55.1,1580,39511.86,0.0,0.0,0.0,0.0,0.0,0.0
124,18101,2,28,28.0,778,20596.68,0.0,0.0,0.0,0.0,0.0,0.0
125,18117,2,28,28.0,778,20596.68,0.0,0.0,0.0,0.0,0.0,0.0
126,18127,2,22,41.8,1204,29887.3,0.0,0.0,0.0,0.0,0.0,0.0
127,18129,1,13,19.2,560,12511.3,0.0,0.0,0.0,0.0,0.0,0.0
128,18161,2,140,166.6,4780,121105.54,56.0,64.0,77.8,55526.04,2258.0,28.0
129,18163,3,47,67.6,1970,47390.5,0.0,0.0,0.0,0.0,0.0,0.0
130,18167,1,60,72.4,2101,54177.12,24.0,25.0,31.4,24602.62,916.0,0.0
131,18177,2,140,166.6,4780,121105.54,56.0,64.0,77.8,55526.04,2258.0,28.0
132,19113,1,11,12.8,372,9453.9,0.0,11.0,12.8,9453.9,372.0,0.0
133,20045,9,108,210.6,6102,149919.66,0.0,0.0,0.0,0.0,0.0,0.0
134,20087,9,108,210.6,6102,149919.66,0.0,0.0,0.0,0.0,0.0,0.0
135,20091,2,26,29.6,856,22330.18,0.0,0.0,0.0,0.0,0.0,0.0
136,20103,9,108,210.6,6102,149919.66,0.0,0.0,0.0,0.0,0.0,0.0
137,20155,2,34,41.4,1196,27951.8,0.0,0.0,0.0,0.0,0.0,0.0
138,20159,2,34,41.4,1196,27951.8,0.0,0.0,0.0,0.0,0.0,0.0
139,20173,2,38,39.3,1112,27659.72,0.0,0.0,0.0,0.0,0.0,0.0
140,20177,3,64,81.3,2350,57556.869999999995,12.0,11.0,18.4,13735.08,544.0,0.0
141,21013,1,17,17.4,490,12382.59,0.0,0.0,0.0,0.0,0.0,0.0
142,21019,2,28,39.0,1104,24633.74,0.0,0.0,0.0,0.0,0.0,0.0
143,21029,1,172,202.0,5827,137900.54,67.0,72.0,83.2,57357.98,2402.0,30.0
144,21049,1,13,13.0,364,9574.97,0.0,0.0,0.0,0.0,0.0,0.0
145,21051,5,75,87.5,2534,65235.43,0.0,0.0,0.0,0.0,0.0,0.0
146,21059,4,76,157.6,4692,115680.16,0.0,0.0,0.0,0.0,0.0,0.0
147,21067,6,74,102.0,2976,64869.94,0.0,0.0,0.0,0.0,0.0,0.0
148,21089,2,28,39.0,1104,24633.74,0.0,0.0,0.0,0.0,0.0,0.0
149,21101,3,51,93.6,2768,67951.79000000001,0.0,0.0,0.0,0.0,0.0,0.0
150,21111,21,768,926.8,27044,642044.81,146.0,144.0,166.4,114715.96,4804.0,60.0
151,21113,1,12,19.0,562,11430.0,0.0,0.0,0.0,0.0,0.0,0.0
152,21115,1,15,16.3,476,10791.79,0.0,0.0,0.0,0.0,0.0,0.0
153,21117,1,28,40.2,1175,29591.06,11.0,0.0,0.0,0.0,0.0,0.0
154,21121,2,32,38.2,1098,28604.56,0.0,0.0,0.0,0.0,0.0,0.0
155,21125,3,43,49.3,1436,36630.869999999995,0.0,0.0,0.0,0.0,0.0,0.0
156,21145,1,32,35.7,995,24331.81,11.0,0.0,0.0,0.0,0.0,0.0
157,21149,2,38,78.8,2346,57840.08,0.0,0.0,0.0,0.0,0.0,0.0
158,21185,6,285,346.9,10107,240012.31,67.0,72.0,83.2,57357.98,2402.0,30.0
159,21199,2,34,43.6,1260,29860.06,0.0,0.0,0.0,0.0,0.0,0.0
160,21235,2,32,38.2,1098,28604.56,0.0,0.0,0.0,0.0,0.0,0.0
161,21239,1,12,19.0,562,11430.0,0.0,0.0,0.0,0.0,0.0,0.0
162,22033,2,32,35.6,1030,25797.46,12.0,0.0,0.0,0.0,0.0,0.0
163,22039,2,130,130.0,3620,97386.42,42.0,58.0,58.0,43109.04,1704.0,0.0
164,22045,1,12,22.7,670,16038.83,0.0,0.0,0.0,0.0,0.0,0.0
165,22049,8,164,169.6,4732,123850.51999999999,100.0,0.0,0.0,0.0,0.0,0.0
166,22051,6,488,565.6,16302,402085.68,160.0,368.0,436.6,308910.88,12574.0,0.0
167,22055,1,12,22.7,670,16038.83,0.0,0.0,0.0,0.0,0.0,0.0
168,22061,8,164,169.6,4732,123850.51999999999,100.0,0.0,0.0,0.0,0.0,0.0
169,22097,2,130,130.0,3620,97386.42,42.0,58.0,58.0,43109.04,1704.0,0.0
170,22099,1,12,22.7,670,16038.83,0.0,0.0,0.0,0.0,0.0,0.0
171,22101,1,31,34.5,996,25731.09,0.0,17.0,20.5,15397.42,590.0,0.0
172,22103,2,26,41.900000000000006,1224,25929.46,0.0,0.0,0.0,0.0,0.0,0.0
173,22109,3,33,33.0,948,21208.050000000003,0.0,0.0,0.0,0.0,0.0,0.0
174,22113,1,12,22.7,670,16038.83,0.0,0.0,0.0,0.0,0.0,0.0
175,22115,2,24,28.0,812,19912.14,0.0,0.0,0.0,0.0,0.0,0.0
176,23005,1,22,45.8,1364,29517.94,14.0,0.0,0.0,0.0,0.0,0.0
177,24003,1,11,11.0,312,8090.23,0.0,0.0,0.0,0.0,0.0,0.0
178,24005,4,67,74.9,2164,56455.04,0.0,18.0,18.0,13248.76,510.0,0.0
179,24013,1,19,23.3,650,18206.42,0.0,0.0,0.0,0.0,0.0,0.0
180,24021,2,26,26.0,752,18748.88,0.0,26.0,26.0,18748.88,752.0,0.0
181,24027,3,38,69.6,2084,48796.14,0.0,0.0,0.0,0.0,0.0,0.0
182,24031,4,54,73.0,2118,49143.7,0.0,24.0,32.0,23405.78,932.0,0.0
183,24043,4,54,61.6,1718,45372.14,0.0,26.0,26.0,18748.88,752.0,0.0
184,24045,2,22,32.5,960,23206.07,0.0,11.0,16.8,12324.75,504.0,0.0
185,24047,2,22,32.5,960,23206.07,0.0,11.0,16.8,12324.75,504.0,0.0
186,24510,4,61,73.6,2123,54236.33,0.0,18.0,18.0,13248.76,510.0,0.0
187,25005,2,74,79.4,2258,56399.78,26.0,0.0,0.0,0.0,0.0,0.0
188,25009,1,36,38.0,1090,27966.59,16.0,0.0,0.0,0.0,0.0,0.0
189,25017,3,45,69.30000000000001,2040,49524.899999999994,0.0,0.0,0.0,0.0,0.0,0.0
190,25021,4,92,105.6,3003,69465.95999999999,15.0,33.0,36.7,24860.22,1034.0,0.0
191,25025,9,385,425.1,11802,301097.82,81.0,141.0,144.7,101851.62,3902.0,33.0
192,26017,2,22,27.6,790,17740.62,0.0,0.0,0.0,0.0,0.0,0.0
193,26021,2,34,46.4,1246,31297.52,0.0,0.0,0.0,0.0,0.0,0.0
194,26099,1,16,21.2,626,11545.12,0.0,0.0,0.0,0.0,0.0,0.0
195,26115,1,12,15.9,466,8063.58,0.0,0.0,0.0,0.0,0.0,0.0
196,26145,2,22,27.6,790,17740.62,0.0,0.0,0.0,0.0,0.0,0.0
197,26159,2,34,46.4,1246,31297.52,0.0,0.0,0.0,0.0,0.0,0.0
198,26163,3,59,72.3,2080,47231.47,0.0,0.0,0.0,0.0,0.0,0.0
199,27005,2,24,29.2,872,20544.5,0.0,0.0,0.0,0.0,0.0,0.0
200,27009,4,64,70.8,2040,46901.2,0.0,0.0,0.0,0.0,0.0,0.0
201,27013,1,16,18.4,534,11821.94,0.0,0.0,0.0,0.0,0.0,0.0
202,27019,1,19,23.1,665,15368.19,0.0,19.0,23.1,15368.19,665.0,0.0
203,27021,1,11,14.1,406,9458.72,0.0,0.0,0.0,0.0,0.0,0.0
204,27035,1,11,14.1,406,9458.72,0.0,0.0,0.0,0.0,0.0,0.0
205,27041,6,138,154.8,4416,114054.48000000001,0.0,138.0,154.8,114054.48000000001,4416.0,0.0
206,27067,2,28,33.2,954,23485.2,0.0,0.0,0.0,0.0,0.0,0.0
207,27097,1,15,15.0,417,11232.5,0.0,0.0,0.0,0.0,0.0,0.0
208,27103,1,16,18.4,534,11821.94,0.0,0.0,0.0,0.0,0.0,0.0
209,27111,2,24,29.2,872,20544.5,0.0,0.0,0.0,0.0,0.0,0.0
210,27121,6,138,154.8,4416,114054.48000000001,0.0,138.0,154.8,114054.48000000001,4416.0,0.0
211,27137,4,92,95.2,2768,70230.4,0.0,0.0,0.0,0.0,0.0,0.0
212,27145,4,64,70.8,2040,46901.2,0.0,0.0,0.0,0.0,0.0,0.0
213,28007,1,28,37.6,1070,26901.7,12.0,13.0,22.6,16007.44,664.0,0.0
214,28011,10,280,298.0,8760,220357.2,0.0,0.0,0.0,0.0,0.0,0.0
215,28015,1,64,67.7,1976,45674.26,21.0,12.0,12.0,9127.48,344.0,0.0
216,28047,2,54,54.0,1536,40080.12,0.0,26.0,26.0,19000.22,732.0,0.0
217,28049,4,65,76.2,2202,60087.479999999996,0.0,12.0,14.7,11512.08,422.0,0.0
218,28067,2,24,24.0,696,17569.72,0.0,0.0,0.0,0.0,0.0,0.0
219,28079,2,42,56.5,1628,38562.130000000005,12.0,13.0,22.6,16007.44,664.0,0.0
220,28083,1,64,67.7,1976,45674.26,21.0,12.0,12.0,9127.48,344.0,0.0
221,28121,1,22,24.0,692,17657.27,0.0,0.0,0.0,0.0,0.0,0.0
222,28123,2,30,42.599999999999994,1258,28658.49,0.0,0.0,0.0,0.0,0.0,0.0
223,28129,1,16,23.7,700,16998.06,0.0,0.0,0.0,0.0,0.0,0.0
224,28133,10,280,298.0,8760,220357.2,0.0,0.0,0.0,0.0,0.0,0.0
225,28159,1,28,37.6,1070,26901.7,12.0,13.0,22.6,16007.44,664.0,0.0
226,29023,6,130,140.4,4096,95873.1,0.0,0.0,0.0,0.0,0.0,0.0
227,29031,1,14,14.9,392,10652.0,0.0,0.0,0.0,0.0,0.0,0.0
228,29035,6,130,140.4,4096,95873.1,0.0,0.0,0.0,0.0,0.0,0.0
229,29051,2,50,71.19999999999999,2055,52517.759999999995,0.0,15.0,16.8,12276.37,476.0,0.0
230,29069,2,34,36.0,1038,24991.24,0.0,0.0,0.0,0.0,0.0,0.0
231,29077,2,22,22.0,616,16023.22,0.0,0.0,0.0,0.0,0.0,0.0
232,29097,1,20,23.6,678,17796.54,12.0,0.0,0.0,0.0,0.0,0.0
233,29127,2,40,50.8,1496,38699.48,0.0,0.0,0.0,0.0,0.0,0.0
